DATE,DEX,TOKEN_IN,AMOUNT,TRADERS
2022-04-04,jumbo,USDC,1.59,1
2022-08-12,ref,USDT,699046.22,22
2021-09-15,ref,DAI,313240.68,62
2021-10-09,ref,DAI,128625.06,171
2021-10-12,ref,USDC,12276.52,91
2022-09-23,ref,USDT,519213.88,27
2022-06-12,ref,USDT,1469653.64,31
2021-10-18,ref,USDT,151789.35,194
2021-11-12,ref,USDT,407889.51,84
2022-05-16,ref,USN,1658.63,27
2022-06-30,ref,USN,4168.07,9
2021-12-30,ref,DAI,145696.11,26
2021-11-27,ref,DAI,77621.35,13
2022-02-15,ref,USDC,8591.11,15
2021-10-18,ref,USDC,1628.57,53
2022-07-21,ref,USN,4353.76,7
2022-05-26,ref,USDC,77015.15,9
2022-07-31,ref,DAI,5909.46,6
2022-07-24,ref,DAI,2766.6,5
2022-10-31,ref,USN,2468.47,9
2022-07-08,ref,USDT,400136.86,26
2022-08-04,ref,USDC,285922.73,20
2022-05-14,ref,USDC,350571.63,12
2021-09-27,ref,USDT,157592.71,101
2021-10-03,ref,DAI,282291.53,138
2022-04-26,ref,USDT,713728.64,64
2022-05-12,ref,USDT,2405427.45,75
2022-04-04,ref,USDT,480335.95,31
2022-04-11,ref,USDT,459533.51,30
2022-11-10,ref,DAI,6768.12,7
2022-10-17,ref,DAI,159.87,5
2021-12-27,ref,DAI,186541.27,34
2022-06-19,ref,DAI,6060.74,6
2021-11-10,ref,DAI,478026.92,26
2022-07-30,ref,USDC,361854.06,15
2022-07-21,ref,USDC,304141.84,14
2022-10-20,ref,DAI,680.26,8
2022-02-11,ref,USDC,2094.7,12
2022-06-28,ref,DAI,3634.85,9
2022-07-09,ref,USDC,276696.01,11
2022-08-17,ref,USN,4739.61,8
2022-05-27,jumbo,USDT,381.66,4
2022-07-30,ref,DAI,3246.97,3
2022-09-06,jumbo,USDT,0.2,1
2022-07-08,jumbo,USDC,0.19,1
2022-05-11,jumbo,USDT,23.13,3
2022-09-21,jumbo,USDT,0.15,1
2022-08-22,ref,USN,3881.16,3
2022-08-10,jumbo,USDT,1.19,1
2022-08-13,jumbo,USDC,0.22,1
2021-11-06,ref,DAI,106979.74,44
2022-01-21,ref,USDT,898774.64,84
2021-10-09,ref,USDT,147569.96,219
2022-02-04,ref,DAI,130068.2,11
2022-06-02,ref,USN,1938.69,15
2022-08-08,ref,USDT,969030.53,23
2021-12-22,ref,DAI,434765.13,34
2022-10-19,ref,USDT,176554.29,18
2021-09-19,ref,DAI,423909.57,53
2022-11-03,ref,USDT,342251.97,15
2022-09-01,ref,USDC,128741.44,12
2022-01-24,ref,DAI,278966.43,21
2022-06-25,ref,USN,6488.99,11
2022-05-31,ref,USDT,522432.27,34
2022-09-16,ref,USDC,126396.37,15
2022-03-30,ref,DAI,12059.65,4
2021-11-24,ref,DAI,100348.24,14
2022-09-06,ref,DAI,3425.4,8
2022-09-02,ref,DAI,849.07,6
2022-04-11,ref,USDC,322104.43,10
2022-08-09,ref,USN,8551.65,9
2022-04-21,jumbo,USDC,7.61,1
2022-11-02,ref,USDC,160757.26,13
2022-08-28,jumbo,USDT,0.17,1
2022-06-20,ref,USN,5471.4,9
2022-10-06,jumbo,USN,0.12,1
2022-07-04,ref,DAI,2079.3,4
2022-07-14,jumbo,USDT,161.66,3
2022-07-09,ref,DAI,2617.84,4
2022-05-30,jumbo,USDT,156.93,3
2022-10-13,ref,USN,7991.83,10
2022-01-12,ref,USDT,607847.03,54
2022-02-22,ref,USDT,330415,31
2021-10-22,ref,USDT,380349.41,126
2021-12-20,ref,USDT,145354.87,57
2022-01-17,ref,USDC,8694.44,31
2021-10-23,ref,DAI,132078.9,63
2021-11-15,ref,DAI,362552.94,37
2021-12-24,ref,USDC,15333.63,35
2021-09-08,ref,DAI,1331961.35,142
2021-10-30,ref,USDT,190510.7,168
2021-10-03,ref,USDT,282693.61,199
2021-11-11,ref,USDC,20242.5,39
2021-11-14,ref,USDT,391346.98,70
2021-10-13,ref,USDT,114486.22,107
2022-01-10,ref,DAI,288739.43,36
2022-05-24,ref,USDT,314436.65,26
2022-04-03,ref,USDC,390477.98,12
2022-04-01,ref,DAI,11332.58,7
2022-10-21,ref,DAI,414.3,6
2021-10-22,ref,DAI,199138.6,52
2021-11-10,ref,USDC,9710.82,27
2022-08-06,ref,USN,8115.85,7
2022-11-01,ref,USN,723.77,9
2022-11-05,ref,USN,1146.99,7
2022-05-03,ref,USDC,233184.08,10
2021-12-26,ref,USDT,485765.47,49
2022-09-09,ref,DAI,1542.49,6
2022-03-29,ref,USDC,199479.49,9
2022-06-09,ref,USN,619.68,11
2022-08-02,jumbo,USDT,2.35,2
2022-03-03,jumbo,USDT,29.6,1
2022-03-22,jumbo,USDT,19.11,3
2022-04-29,jumbo,USDC,0.8,1
2022-05-22,ref,DAI,3079.4,8
2022-08-12,jumbo,USDT,0.36,1
2022-09-28,jumbo,USDT,8.24,1
2022-10-24,jumbo,USDT,0.59,2
2022-05-10,jumbo,USDT,1.86,1
2022-10-19,ref,USN,1929.66,13
2022-09-03,ref,USDT,52936.33,11
2021-11-01,ref,USDT,541091.57,136
2022-05-09,ref,USDT,6538532.35,51
2021-09-17,ref,DAI,179387.56,65
2022-05-20,ref,USDT,209267.46,24
2022-10-11,ref,USDC,98655,9
2022-03-24,ref,DAI,12286.07,16
2022-06-24,ref,USDT,2077804.41,22
2021-12-05,ref,DAI,156530.92,16
2022-07-24,ref,USDC,208484.4,11
2022-05-24,ref,USDC,117064.11,8
2022-06-04,ref,USDT,337019.59,21
2022-11-15,ref,USDC,119498.55,9
2021-12-27,ref,USDC,24920.64,22
2022-01-22,ref,DAI,563702.5,34
2022-05-06,ref,USN,630.45,6
2022-03-13,ref,USDT,99944.96,13
2022-05-06,ref,DAI,8730.62,11
2022-09-29,ref,USDC,134881.28,11
2022-11-13,ref,DAI,2270.13,8
2022-04-17,ref,DAI,9996.97,7
2022-08-07,ref,USN,6826.61,6
2022-06-11,ref,DAI,6935.31,9
2022-05-16,ref,DAI,10796.75,10
2022-06-02,ref,USDC,271168.82,8
2022-04-07,jumbo,USDT,26.15,3
2022-04-29,jumbo,USDT,4.28,2
2021-12-19,ref,USDC,338.91,6
2022-07-18,ref,USDC,501526.56,11
2022-10-08,ref,USDT,43156.08,21
2022-02-25,ref,USDC,403573.56,28
2022-08-18,ref,USDT,325035.94,15
2021-09-09,ref,USDT,1331601.81,128
2021-09-23,ref,USDC,5736.55,73
2022-03-02,ref,USDT,521170.91,27
2021-10-06,ref,DAI,203547.61,188
2021-12-17,ref,DAI,25527.62,19
2021-12-20,ref,USDC,2892.25,26
2022-11-15,ref,USDT,206395.05,15
2022-02-24,ref,USDT,594931.24,35
2021-09-04,ref,USDC,937.23,34
2021-11-29,ref,DAI,141155.34,115
2022-10-08,ref,USN,1480.91,7
2022-06-21,ref,USDC,392303.75,10
2022-04-02,ref,USDC,252220.11,10
2022-05-04,ref,USDC,236979.71,10
2022-11-12,ref,USN,5196.09,11
2022-09-28,ref,DAI,132.41,7
2022-06-03,ref,USN,1560.2,13
2022-11-02,ref,DAI,437.16,9
2022-02-12,ref,DAI,99345.42,14
2022-11-13,jumbo,USDT,25.65,3
2022-09-08,ref,USN,10609.37,5
2022-02-16,ref,USDT,99697.28,15
2022-07-16,ref,USDC,183965.43,8
2022-04-15,jumbo,USDT,4.36,2
2022-03-22,ref,USDC,127056.54,11
2022-10-15,ref,DAI,4,3
2022-08-31,ref,DAI,3520.28,6
2022-08-22,jumbo,USDT,0.76,2
2022-08-27,ref,USDT,187118.96,22
2022-03-08,ref,USDC,94215.35,4
2021-09-07,ref,USDT,1234387.29,89
2021-11-02,ref,USDT,316425.73,135
2021-09-25,ref,USDC,8213.75,43
2022-03-26,ref,DAI,11060.16,9
2022-03-15,ref,USDC,230960.48,5
2021-12-15,ref,DAI,211512.54,13
2022-07-26,ref,USN,4399.83,13
2022-09-18,ref,USN,5806.59,13
2022-06-14,ref,USDT,1819033.36,28
2022-05-03,ref,DAI,8275.74,6
