date,coin_id,price,volume,market_cap
2020-10-14,near,1.1838733589946326,76095809.64229831,0
2020-10-15,near,1.1838733589946326,76095809.64229831,0
2020-10-16,near,1.1247825676172798,25157383.02691552,0
2020-10-17,near,0.8178603403509889,30248557.55041884,0
2020-10-18,near,0.80876707573829,16722844.027381418,0
2020-10-19,near,0.8671602594604444,9335022.17417277,0
2020-10-20,near,0.7908298093375647,8205676.952886833,0
2020-10-21,near,0.6766914927977854,12918716.809547676,0
2020-10-22,near,0.7009181972941939,12198251.794537595,0
2020-10-23,near,0.7464007118165821,10836905.828836193,0
2020-10-24,near,0.7290171462057274,7683688.276508613,0
2020-10-25,near,0.7381754572628557,6682940.351835173,0
2020-10-26,near,0.8435465451752299,21309666.221524023,0
2020-10-27,near,0.7786056754874854,14097950.58233542,0
2020-10-28,near,0.761117659457054,10230792.963756915,0
2020-10-29,near,0.7007526394090624,10642568.785507457,0
2020-10-30,near,0.6900742525202638,8819125.994262757,0
2020-10-31,near,0.630716415125067,11040183.67624694,0
2020-11-01,near,0.628082841536203,6368696.963273847,0
2020-11-02,near,0.6341145616863946,11301499.28784441,0
2020-11-03,near,0.6062331084202002,17967546.222506564,0
2020-11-04,near,0.5620491680698492,6379271.705133689,0
2020-11-05,near,0.5330319166459828,6996812.978420456,0
2020-11-06,near,0.6928507248475891,19169035.4927029,0
2020-11-07,near,0.7175534667901879,15819152.717296226,0
2020-11-08,near,0.695745677742161,19747665.750918087,0
2020-11-09,near,0.8151473588606633,12033607.479106065,0
2020-11-10,near,0.9024674990365917,16705075.968852239,0
2020-11-11,near,0.9413519288313482,22576278.967333477,0
2020-11-12,near,0.8615006142048965,19195239.174221754,0
2020-11-13,near,0.7883341719133421,14963439.07272913,0
2020-11-14,near,0.8984439157000946,22913895.186391026,0
2020-11-15,near,0.8707515158173079,19257396.934388038,0
2020-11-16,near,0.8332277720543532,26602325.135237265,0
2020-11-17,near,0.8664303565565092,29878020.60227782,0
2020-11-18,near,0.9303483284292153,40478046.02502659,0
2020-11-19,near,0.8310328830887517,34834185.403023005,0
2020-11-20,near,0.8437453048255209,11446747.681280816,0
2020-11-21,near,0.9381409113799426,28095061.237451293,0
2020-11-22,near,1.1931105678175205,85227286.17935333,0
2020-11-23,near,1.0791613513352254,53281344.1997513,214628932.756327
2020-11-24,near,1.1720263745587842,41912097.64003675,231374725.41431978
2020-11-25,near,1.236257728874692,50983358.3519749,247715664.95558006
2020-11-26,near,1.1075205643603636,42363338.56079382,223152648.58961877
2020-11-27,near,1.0076121352945775,43224751.0777297,203224837.6408594
2020-11-28,near,0.99709439650178,33171996.107662376,202667876.65804324
2020-11-29,near,1.0210661564167025,21757031.337974526,208875741.56559694
2020-11-30,near,1.0129840784580715,19853294.006829653,207949242.89533466
2020-12-01,near,1.0738702550748922,24850099.253747765,222343600.618726
2020-12-02,near,1.07032394317336,71847657.43351948,222197426.23321077
2020-12-03,near,1.1827769487065563,46979585.65472255,246955791.15000382
2020-12-04,near,1.1532949652249318,15229950.096047375,241860488.70564315
2020-12-05,near,1.1059921871819645,29730619.197853968,232465168.94486883
2020-12-06,near,1.1120270389864544,38749345.99966506,235780016.84543568
2020-12-07,near,1.033180423681172,19141895.156142417,219785381.3232041
2020-12-08,near,1.011543349433404,14561327.669916851,216790353.1300778
2020-12-09,near,0.9325312880461403,20417887.754960563,201650097.8780381
2020-12-10,near,0.999219587602759,30512762.74382265,216083369.64059186
2020-12-11,near,0.9558610950333708,16640639.339750597,209474247.7892912
2020-12-12,near,0.8706813691827192,16880677.058336064,190541579.4984398
2020-12-13,near,0.9177302021592217,10351975.723894509,201798495.74225697
2020-12-14,near,0.9508063210477575,10032903.6494913,209202955.71850124
2020-12-15,near,0.9933527127864532,10987872.895892058,220048313.72649768
2020-12-16,near,1.0076363407336284,11100644.08198459,224050572.64889234
2020-12-17,near,1.0421791299216365,16281621.683646781,232652093.58614394
2020-12-18,near,0.9942277249260705,19343181.913756926,223344117.76193455
2020-12-19,near,1.0044161249740604,10633117.305575268,226239997.24659166
2020-12-20,near,1.0468715191834927,18058317.41999598,237290253.2667502
2020-12-21,near,1.0584245562796823,15614811.783638831,240764985.58141574
2020-12-22,near,1.2237814533948355,185242080.43289456,280595737.1956196
2020-12-23,near,1.1575469754985133,64784393.27219868,265861549.74918073
2020-12-24,near,0.9642786036519683,31187235.23602458,223751230.3084115
2020-12-25,near,1.061156024535133,19022808.425217222,246149196.96101096
2020-12-26,near,1.0191955833783306,16983932.325706333,237584393.64505413
2020-12-27,near,1.0241714019605817,15517466.246889295,239492876.1317622
2020-12-28,near,1.2021275782170335,43408448.787855186,288534734.41517544
2020-12-29,near,1.2268747719697568,38978154.906242594,289191871.6072324
2020-12-30,near,1.1694569898611062,27460808.000747483,278099035.9202955
2020-12-31,near,1.2105817462426818,29871366.925089493,288005719.4995615
2021-01-01,near,1.394950404995763,40897350.1989161,334409413.8032567
2021-01-02,near,1.3540472415447495,54888185.79342295,325326896.1283701
2021-01-03,near,1.4104870957150175,39144076.31376955,340617424.5678564
2021-01-04,near,1.4742575411259051,55748633.851986416,358682750.9770675
2021-01-05,near,1.3543608145746604,52181033.016069435,329010206.5301945
2021-01-06,near,1.5036654917749683,56520795.66680101,367328449.4261304
2021-01-07,near,1.5447075375867199,42837677.192228235,379064062.75014615
2021-01-08,near,1.500323513959518,39715582.946275465,370238624.18960017
2021-01-09,near,1.7121803404471623,94846191.84212743,418436402.40512526
2021-01-10,near,1.7688156465550509,109790082.18896937,441802395.52108073
