date,coin_id,price,volume,market_cap
2021-09-10,ref,5.555582979936128,8044195.191851471,0
2021-09-11,ref,5.555582979936128,8044195.191851471,0
2021-09-12,ref,5.478178775815487,7879190.909720924,0
2021-09-13,ref,5.555140672361299,8145850.155311841,0
2021-09-14,ref,4.8261556635061025,7832657.809804779,0
2021-09-15,ref,5.085896831904764,8567957.295549225,0
2021-09-16,ref,5.579250385677801,9610374.579340355,0
2021-09-17,ref,4.752306389410226,9249388.22797332,0
2021-09-18,ref,5.592466393949283,10397632.933219707,0
2021-09-19,ref,6.769562505340435,12692828.715964125,0
2021-09-20,ref,7.437373880062673,14490080.265839739,0
2021-09-21,ref,5.848109269463537,11735391.140419928,0
2021-09-22,ref,5.316966848238533,10622561.365843982,0
2021-09-23,ref,6.1926881363364465,12813790.271775922,0
2021-09-24,ref,7.462966982399108,15894577.161857523,0
2021-09-25,ref,6.301512246167915,13791027.699033476,0
2021-09-26,ref,5.996234008068439,13574939.937018482,0
2021-09-27,ref,5.442929853203371,13004460.453494092,0
2021-09-28,ref,5.295647467182921,12606703.304920692,0
2021-09-29,ref,4.985890833544319,11923281.540475475,0
2021-09-30,ref,5.057426334304813,12169558.69493134,0
2021-10-01,ref,5.261047948096797,12807614.75195735,0
2021-10-02,ref,5.824951583297584,14492079.794195905,0
2021-10-03,ref,5.892884496202539,14695071.553483795,0
2021-10-04,ref,5.593598621933275,15123870.084222926,0
2021-10-05,ref,5.176745172173101,14422194.348367855,0
2021-10-06,ref,5.23048429672402,15292178.42837334,0
2021-10-07,ref,4.937002814388256,15027505.663489034,0
2021-10-08,ref,5.14026414092677,15793146.916881898,0
2021-10-09,ref,5.056599342227535,15633170.455342127,0
2021-10-10,ref,5.05654479323597,15662378.217491532,0
2021-10-11,ref,4.683624527260421,14526834.193879422,0
2021-10-12,ref,4.540899956352154,14680798.503313104,0
2021-10-13,ref,4.401782466390616,14369189.731331013,0
2021-10-14,ref,4.3455587029673,14405851.0801235,0
2021-10-15,ref,4.783741442362693,16283481.307830736,0
2021-10-16,ref,4.655618796525423,15940633.340001797,0
2021-10-17,ref,4.645417142523332,15996302.837562455,0
2021-10-18,ref,4.52941363425703,15767599.302608058,0
2021-10-19,ref,4.523194160430753,15864604.881154377,0
2021-10-20,ref,4.684965433977421,16682071.763747731,0
2021-10-21,ref,5.185819264902282,18074029.26705018,0
2021-10-22,ref,6.2442007342246155,21269560.6303467,0
2021-10-23,ref,5.956850666198287,20405299.19043201,0
2021-10-24,ref,5.9400729177315155,20861887.49936766,0
2021-10-25,ref,6.126329507693219,21679886.324614584,0
2021-10-26,ref,9.960863156331266,32824120.561375808,0
2021-10-27,ref,9.890240260085974,33439824.166636348,0
2021-10-28,ref,8.727365625620878,29715519.625229184,0
2021-10-29,ref,8.870691136260229,31951268.11949344,0
2021-10-30,ref,8.565343996306344,31642653.449439157,0
2021-10-31,ref,7.53594284542829,29319857.78275277,0
2021-11-01,ref,6.943257706927727,28624933.639901735,0
2021-11-02,ref,6.771366638139975,28657414.84253477,0
2021-11-03,ref,6.946068655213182,29800136.63364961,0
2021-11-04,ref,7.628756118344366,31742019.745377384,0
2021-11-05,ref,7.431033184033215,31181003.59747929,0
2021-11-06,ref,7.166581686705938,30649035.961083546,0
2021-11-07,ref,6.716638746374723,30532468.94119415,0
2021-11-08,ref,6.7091119463986795,30970513.243746396,0
2021-11-09,ref,6.887773280179268,32351297.163704697,0
2021-11-10,ref,7.179617471922226,34391770.383801825,0
2021-11-11,ref,6.633596044415295,32570400.464279573,0
2021-11-12,ref,7.848488132026667,37909214.91424891,0
2021-11-13,ref,7.10602000801573,34962843.70936563,0
2021-11-14,ref,6.933002627206215,34682431.58615814,0
2021-11-15,ref,6.7606511968504215,37289988.40604092,0
2021-11-16,ref,5.811189798205538,34872533.12485989,0
2021-11-17,ref,5.050987772076097,30713868.59038884,0
2021-11-18,ref,4.814195905789346,29613479.03920659,0
2021-11-19,ref,4.260864986306785,27967074.67536881,0
2021-11-20,ref,4.268415495223211,6675027.275856091,0
2021-11-21,ref,4.38299412408052,1947190.0165696172,0
2021-11-22,ref,4.3854183533359405,873874.0206769077,0
2021-11-23,ref,4.047650063743609,1343007.6728922667,0
2021-11-24,ref,4.20639552420717,1661820.8909880547,0
2021-11-25,ref,3.8404609980329685,963386.5261860853,0
2021-11-26,ref,3.7136749606418045,553855.5181928901,0
2021-11-27,ref,3.3194565646881316,528180.5140753655,0
2021-11-28,ref,3.3035851436211527,263184.3389032874,0
2021-11-29,ref,3.2710568272696743,303491.0726674958,0
2021-11-30,ref,3.2593756441285766,193568.16974086114,0
2021-12-01,ref,3.3214802888031727,341930.5610303498,0
2021-12-02,ref,3.1821360584336804,221148.82013001022,0
2021-12-03,ref,3.0928563111356766,350621.5741088262,0
2021-12-04,ref,3.4721296900622685,612186.0102743555,0
2021-12-05,ref,2.9259224559524637,408756.0846095168,0
2021-12-06,ref,2.6601839201143105,175385.50167574812,0
2021-12-07,ref,2.5237360054358438,347023.34296435176,0
2021-12-08,ref,2.5388941680435435,231910.1571865267,0
2021-12-09,ref,2.927402602001526,552825.0667709543,0
2021-12-10,ref,2.9814346912345115,341288.85379327676,0
2021-12-11,ref,2.988491994761339,277705.17092663725,0
2021-12-12,ref,3.3963914882628448,400943.5482902508,0
2021-12-13,ref,3.0820034662650646,225784.98656189124,0
2021-12-14,ref,2.6017896025626386,201434.17886652634,0
2021-12-15,ref,2.5836937588713162,164338.17327691906,0
2021-12-16,ref,2.6925233452501334,261292.11624279252,0
