DATE,DEX,AMOUNT,TRADERS
2022-08-18,ref,480839.22,21
2022-09-25,ref,142648.31,36
2022-06-02,ref,931544.85,24
2022-08-18,jumbo,3.1,3
2022-06-14,jumbo,527.57,2
2022-04-21,jumbo,18.95,3
2021-11-02,ref,540147.06,191
2022-01-02,ref,136725.89,53
2022-02-02,ref,468634.4,36
2022-09-24,ref,369140.25,21
2021-09-17,ref,386139.94,111
2022-05-28,ref,443425.13,35
2022-09-03,jumbo,0.03,1
2022-10-04,jumbo,0.72,1
2022-06-10,ref,444519.5,43
2022-07-30,ref,801309,31
2022-05-01,ref,9042296.48,41
2022-05-06,ref,421440.43,48
2021-11-15,ref,543726.44,92
2022-10-10,ref,155212.01,25
2021-10-22,ref,593302.54,185
2022-09-23,ref,744077.46,40
2022-11-17,ref,126000.29,24
2022-03-12,ref,248864.62,11
2022-05-14,jumbo,0.62,1
2022-06-30,ref,651129.04,39
2022-02-15,ref,325151.15,36
2021-09-03,ref,489554.84,135
2022-07-02,ref,378863.66,25
2022-01-31,ref,317717,40
2022-07-01,ref,1023656.51,32
2022-07-06,ref,677709.94,21
2022-03-15,ref,423230.38,7
2022-06-25,jumbo,537.48,3
2022-11-19,jumbo,0.34,1
2022-05-18,jumbo,4.33,2
2022-03-31,jumbo,2.44,1
2021-10-04,ref,558146.72,442
2021-10-06,ref,431647.39,551
2022-11-23,ref,290636.94,21
2022-10-05,ref,358518.13,27
2022-02-20,ref,582656.77,36
2022-08-30,ref,943921.81,25
2022-08-25,ref,387188.87,21
2022-04-08,jumbo,175.79,4
2022-11-22,jumbo,15.73,1
2021-12-21,ref,309989.73,72
2022-01-19,ref,475220.37,66
2022-04-27,ref,640353.44,59
2022-03-23,ref,282924.8,34
2022-10-12,ref,234398.6,25
2022-10-24,ref,495748.13,17
2022-02-07,ref,487308.71,54
2022-07-18,ref,1487424.82,29
2022-06-09,ref,294473.45,30
2022-07-22,jumbo,416.38,4
2022-04-03,jumbo,7.31,2
2022-02-20,jumbo,4141.5,2
2021-09-27,ref,303561.06,170
2022-09-10,ref,477836.13,26
2022-01-20,ref,748930.9,70
2021-12-29,ref,735115.87,74
2022-03-22,jumbo,19.11,3
2021-11-20,ref,1257427.34,132
2022-04-12,ref,563668.06,32
2022-01-06,ref,693366.56,71
2022-04-01,jumbo,28.59,2
2022-03-18,ref,288214.95,24
2022-11-11,ref,847437.25,25
2022-10-23,ref,207170.15,15
2022-03-26,jumbo,26.56,3
2022-08-13,jumbo,0.43,1
2021-09-11,ref,723591.93,190
2021-12-01,ref,277863.81,53
2022-09-08,ref,892645.41,23
2022-08-26,ref,759332.32,38
2022-04-25,jumbo,525.39,3
2022-11-07,ref,282751.05,17
2022-04-14,jumbo,156.76,4
2021-09-23,ref,1636596.78,183
2021-09-30,ref,460148.86,196
2022-07-11,ref,1437788.22,31
2022-08-31,ref,783868.38,23
2021-11-26,ref,223983.2,55
2022-02-27,ref,586751.21,35
2022-05-03,ref,600597.49,31
2022-08-04,ref,816324.55,44
2022-08-02,ref,1042279.54,35
2022-11-19,ref,91926.09,17
2022-04-10,ref,334106.03,53
2022-05-01,jumbo,3.61,2
2022-07-29,jumbo,0.19,1
2022-01-14,ref,658328.51,65
2022-11-22,ref,441375.89,17
2022-06-12,ref,2299792.69,40
2021-10-08,ref,528230.18,403
2022-07-15,ref,494629.32,25
2022-07-16,jumbo,97.48,3
2022-11-21,jumbo,1.45,2
2022-05-16,jumbo,11.09,5
2022-11-20,jumbo,0.75,2
