DATE,DEX,AMOUNT,TRADERS,PRICE,VOLUME,MARKET_CAP,NEW_USERS
2022-05-01,ref,9042296.48,41,1.7201304870460896,1096815.5057470626,20125784.526965156,12
2022-05-01,jumbo,3.61,2,NA,NA,NA,NA
2022-05-02,ref,3645084.82,51,1.9971024455678414,1907375.4892153374,23521989.808528185,23
2022-05-03,ref,600597.49,31,1.8621206117530993,2655105.239643229,21996471.753851064,11
2022-05-03,jumbo,3.58,2,NA,NA,NA,NA
2022-05-04,jumbo,3.89,3,NA,NA,NA,NA
2022-05-04,ref,669515.73,39,1.955352730282222,830946.682599895,23052251.713862896,14
2022-05-05,jumbo,2.94,3,NA,NA,NA,NA
2022-05-05,ref,662916.05,46,2.2603965629567946,1613318.6788093157,26994021.324500404,17
2022-05-06,ref,421440.43,48,1.8124653733904443,1485841.7776570357,21776313.439800836,10
2022-05-06,jumbo,1.71,1,NA,NA,NA,NA
2022-05-07,ref,295508.29,48,1.6769592458972125,988300.3673018339,20184410.162263513,13
2022-05-07,jumbo,9.16,3,NA,NA,NA,NA
2022-05-08,ref,2841740.96,43,1.5688106864451827,530812.3060464704,19030027.859332584,14
2022-05-09,jumbo,15.97,3,NA,NA,NA,NA
2022-05-09,ref,10314251.79,67,1.6995567392618953,1014037.2433998752,20966344.364248484,23
2022-05-10,jumbo,2.47,1,NA,NA,NA,NA
2022-05-10,ref,12392388.62,77,1.3083430894118118,1665069.9705164125,16201898.879716717,29
2022-05-11,ref,8278008.64,130,1.2923000471718298,1579364.1260005797,15744447.905440776,64
2022-05-11,jumbo,23.63,3,NA,NA,NA,NA
2022-05-12,ref,4088689.17,128,0.7499306629634211,1870554.0521537964,8799166.827556534,61
2022-05-12,jumbo,10.98,3,NA,NA,NA,NA
2022-05-13,jumbo,1.97,1,NA,NA,NA,NA
2022-05-13,ref,4986541.32,78,0.7367292014310733,1185525.3487006258,9066423.514464268,24
2022-05-14,ref,972004.07,52,0.7179207203372566,1021806.5706383095,8929895.405845756,12
2022-05-14,jumbo,0.62,1,NA,NA,NA,NA
2022-05-15,jumbo,2.26,2,NA,NA,NA,NA
2022-05-15,ref,1305414.63,49,0.7201290344796174,449056.1445554241,8978021.297142025,11
2022-05-16,ref,445733.53,58,0.8242259530348806,442214.0115078141,10248732.884063704,11
2022-05-16,jumbo,11.09,5,3.1071796593804373,748669.7181479282,0,1
2022-05-17,jumbo,7.59,2,3.1071796593804373,748669.7181479282,0,NA
2022-05-17,ref,664702.15,36,0.6865104555453058,340763.7077266888,8698274.20877467,8
2022-05-18,jumbo,4.33,2,3.0895709325909437,168856.50431462852,0,NA
2022-05-18,ref,552657.52,55,0.6924344009968657,315396.6535804444,8714424.643679291,15
2022-05-19,ref,544703.4,50,0.5782446974027625,351179.71881604736,7398536.135482042,13
2022-05-19,jumbo,2.2,1,3.1872776863287466,146013.37336467893,0,NA
2022-05-20,ref,284050.75,36,0.60152868197407,325932.04816775105,7622819.893171245,10
2022-05-20,jumbo,1.53,1,3.3299447815232393,146612.2270541837,0,NA
2022-05-21,ref,337113.54,31,0.5718396172994439,216284.1344425752,7316510.888237454,7
2022-05-21,jumbo,18.28,2,3.2894639913917456,175514.17212822213,0,NA
2022-05-22,ref,222557.2,28,0.5870558930773345,190165.21557034957,7332516.623691812,5
2022-05-23,jumbo,0.62,1,3.785813085288826,230308.18678958822,0,NA
2022-05-23,ref,476777.02,49,0.6141892678707991,289152.67592075496,7842848.448896361,19
2022-05-24,ref,437768.72,40,0.5750355711856043,221398.51612763124,7397627.259276465,11
2022-05-24,jumbo,0.8,1,3.2311503122064074,174172.16831117668,0,NA
2022-05-25,ref,378618.98,42,0.5682615342348832,285757.6006022039,7337243.771304632,9
2022-05-26,ref,334405.55,45,0.5711026940883366,200243.33660062062,7406255.243828312,17
2022-05-26,jumbo,271.51,4,2.936617812605025,2086872.432331191,0,NA
2022-05-27,jumbo,381.66,4,2.5638984033288645,5225246.076864507,0,NA
2022-05-27,ref,959191.81,57,0.522484532411959,185507.29119486507,6785049.546624086,12
2022-05-28,ref,443425.13,35,0.45777310041539354,181688.42390703308,5956777.12757008,11
2022-05-28,jumbo,553.8,3,2.2874246026850074,4799820.011091692,0,NA
2022-05-29,ref,357322.18,18,0.4759219886508601,97779.37106730143,6220172.805741553,2
2022-05-29,jumbo,96.42,4,2.3257915040737625,5563560.310883757,0,NA
2022-05-30,ref,505040.89,40,0.5007445869496988,137123.90766297973,6556181.432689636,7
2022-05-30,jumbo,157.07,3,2.2623668102936643,4339145.9589285925,0,NA
2022-05-31,ref,812419.85,52,0.5562462513674664,289003.67327470786,7329691.172247494,15
2022-05-31,jumbo,405.83,4,2.4230708613527407,4849718.449879289,0,NA
2022-06-01,jumbo,311.61,3,2.393900138784051,6140573.135054361,0,NA
2022-06-01,ref,1176006.31,44,0.600172296465653,452088.37089961814,7984031.039579536,12
2022-06-02,jumbo,110.14,4,2.314411672271929,4435748.822589273,0,NA
2022-06-02,ref,931544.85,24,0.5277363027727479,258864.19240431854,7055294.737725003,5
2022-06-03,jumbo,135.86,4,2.3357451524236184,5178416.908328641,0,NA
2022-06-03,ref,554346.95,38,0.5582240604706006,171447.81679121748,7507938.331319045,11
2022-06-04,ref,512377.31,33,0.5163950466626981,136450.79567511097,6955214.2987875175,8
2022-06-04,jumbo,30.5,2,2.1881450277886283,5387819.247779512,0,NA
2022-06-05,ref,359424.89,29,0.5100575279479613,129304.67873852215,6873913.942496163,7
2022-06-05,jumbo,232.37,4,2.19734628633487,5250479.307922604,0,NA
